Report of testing
======================General information===================
Total number of different cases: 1016
proportional: 1016
unproportional: 0
zeroDerivations: 0
correct answers number: 1016
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 382.3039162158966
average time per test: 4.497693131951725
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
=====================Proportional derivations==================
55):  (13, 3, 5, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(2*x**6 + 4*x**5 + 5*x**4 + 6*x**3 + 6*x**2 + 3*x + 7)] |-----|
56):  (2, 7, 1, 1, 0, -1):  GIVEN_DERIVATION : [0, -x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(6*x**2 + 4*x + 5)] |-----|
57):  (4, 7, 7, 1, 0, -1):  GIVEN_DERIVATION : [0, -x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(9*x**8 + 5*x**7 + 7*x**6 + 6*x**5 + 2*x**4 + 4*x**3 + 8*x**2 + 7*x + 6)] |-----|
58):  (8, 15, 13, 1, 0, -5):  GIVEN_DERIVATION : [0, -5*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(6*x**14 + 5*x**13 + 2*x**12 + 8*x**11 + 5*x**10 + x**9 + 3*x**8 + 6*x**7 + 6*x**6 + 9*x**5 + 3*x**4 + 3*x**3 + 9*x**2 + 8*x + 8)] |-----|
59):  (5, 14, 8, 1, 0, -7):  GIVEN_DERIVATION : [0, -7*x**8*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [0, y*(6*x**9 + 9*x**8 + 2*x**7 + 9*x**6 + 9*x**5 + 4*x**4 + 5*x**3 + 9*x**2 + 3*x + 7)] |-----|
60):  (2, 13, 1, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(x**2 + 5*x + 1)] |-----|
61):  (15, 14, 6, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(2*x**7 + x**6 + x**5 + 6*x**4 + 6*x**3 + 9*x**2 + 4*x + 5)] |-----|
62):  (8, 8, 3, 1, 0, -12):  GIVEN_DERIVATION : [0, -12*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(9*x**4 + 2*x**3 + 8*x**2 + 3*x + 4)] |-----|
63):  (11, 12, 3, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(8*x**4 + 6*x**3 + 4*x**2 + x + 2)] |-----|
64):  (11, 5, 14, 1, 0, -7):  GIVEN_DERIVATION : [0, -7*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(4*x**15 + 5*x**14 + 3*x**13 + 3*x**12 + 5*x**11 + 8*x**10 + 7*x**9 + 7*x**8 + 2*x**7 + 3*x**6 + 4*x**5 + 7*x**4 + 3*x**3 + 2*x**2 + 3*x + 6)] |-----|
