Report of testing
======================General information===================
Total number of different cases: 72
proportional: 0
unproportional: 72
zeroDerivations: 0
correct answers number: 72
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 26.20897098382314
average time per test: 4.36816183063719
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
50):  (14, 7, 13, 8, 64, -112):  GIVEN_DERIVATION : [64*x**14*y**7, -112*x**13*y**8] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [-63*x**8*y**4/13 - 36*x**7*y**3/7 - 21*x/13, 9*x**7*y**5 + 9*x**6*y**4 + 3*y] |-----|
51):  (2, 4, 1, 5, -35, 14):  GIVEN_DERIVATION : [-35*x**2*y**4, 14*x*y**5] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [-5*x**2*y**4/2 - 36*x, x*y**5 + 9*y] |-----|
52):  (5, 5, 4, 6, 36, -30):  GIVEN_DERIVATION : [36*x**5*y**5, -30*x**4*y**6] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [-5*x/2, 2*y] |-----|
53):  (4, 13, 3, 14, -56, 16):  GIVEN_DERIVATION : [-56*x**4*y**13, 16*x**3*y**14] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [-26*x**3*y**7 - 28*x**2*y**6 - 52*x/3, 6*x**2*y**8 + 8*x*y**7 + 4*y] |-----|
54):  (1, 13, 0, 14, 42, -3):  GIVEN_DERIVATION : [42*x*y**13, -3*y**14] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [x**2*y**14 - 56*x*y**13 + 8*x, 4*y**14] |-----|
55):  (9, 6, 8, 7, -28, 36):  GIVEN_DERIVATION : [-28*x**9*y**6, 36*x**8*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-27*x/4, 9*y] |-----|
56):  (10, 12, 9, 13, -143, 110):  GIVEN_DERIVATION : [-143*x**10*y**12, 110*x**9*y**13] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-4*x, 3*y] |-----|
57):  (8, 10, 7, 11, -121, 88):  GIVEN_DERIVATION : [-121*x**8*y**10, 88*x**7*y**11] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-50*x/7, 5*y] |-----|
58):  (13, 10, 12, 11, -11, 13):  GIVEN_DERIVATION : [-11*x**13*y**10, 13*x**12*y**11] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-15*x/2, 9*y] |-----|
59):  (14, 2, 13, 3, -39, 182):  GIVEN_DERIVATION : [-39*x**14*y**2, 182*x**13*y**3] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [-12*x**14*y**2/7 - 18*x/13, 8*x**13*y**3 + 9*y] |-----|
60):  (7, 8, 6, 9, 9, -7):  GIVEN_DERIVATION : [9*x**7*y**8, -7*x**6*y**9] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-8*x, 6*y] |-----|
61):  (12, 4, 11, 5, -30, 72):  GIVEN_DERIVATION : [-30*x**12*y**4, 72*x**11*y**5] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [-24*x/11, 6*y] |-----|
62):  (6, 9, 5, 10, 30, -18):  GIVEN_DERIVATION : [30*x**6*y**9, -18*x**5*y**10] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [-9*x**4*y**5/5 - 25*x**3*y**4/3 - 72*x/5, x**3*y**6 + 5*x**2*y**5 + 8*y] |-----|
63):  (9, 1, 8, 2, -6, 27):  GIVEN_DERIVATION : [-6*x**9*y, 27*x**8*y**2] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-2*x**9*y/9 - x/8, x**8*y**2 + y] |-----|
64):  (15, 6, 14, 7, -49, 105):  GIVEN_DERIVATION : [-49*x**15*y**6, 105*x**14*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-3*x/7, y] |-----|
65):  (9, 14, 8, 15, -90, 54):  GIVEN_DERIVATION : [-90*x**9*y**14, 54*x**8*y**15] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-21*x**7*y**10/4 - 5*x**6*y**9/3 - 7*x**4*y**5/4 - 25*x**3*y**4/3 - 7*x/2, 3*x**6*y**11 + x**5*y**10 + x**3*y**6 + 5*x**2*y**5 + 2*y] |-----|
66):  (1, 11, 0, 12, -108, 9):  GIVEN_DERIVATION : [-108*x*y**11, 9*y**12] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [8*x**2*y**12 - 108*x*y**11 + 8*x, 9*y**12] |-----|
67):  (9, 5, 8, 6, -6, 9):  GIVEN_DERIVATION : [-6*x**9*y**5, 9*x**8*y**6] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-15*x**7*y**4/8 - 6*x**6*y**3 - 15*x**4*y**2/4 - 16*x**3*y/3 - 15*x/4, 3*x**6*y**5 + 9*x**5*y**4 + 6*x**3*y**3 + 8*x**2*y**2 + 6*y] |-----|
68):  (6, 14, 5, 15, -135, 54):  GIVEN_DERIVATION : [-135*x**6*y**14, 54*x**5*y**15] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-126*x**5*y**10/5 - 15*x**4*y**9 - 112*x**3*y**5/5 - 20*x**2*y**4 - 56*x/5, 9*x**4*y**11 + 6*x**3*y**10 + 8*x**2*y**6 + 8*x*y**5 + 4*y] |-----|
